sweep,xi,d2,L,N,T,rm,sigma0_hi,a,s0bar,K1,K2,kappa,A,mass_int,mean_int,vmean_int,mmin,stationarity_u,stationarity_v,stationarity_w,stationarity_max,comparison_interval,solver_success,nfev,njev,nlu
phase,8.0,0.08,10.0,200,300.0,1.2,1.0,3.8,0.24,0.10566852562105711,0.09634269332478018,0.5616223301496214,0.4685673638844354,5.442842485504278,0.7161634849347734,0.2822641889509776,0.0,5.389061058617037e-14,5.2773660293616764e-14,1.0719626676843195e-13,1.0719626676843195e-13,5.0847457627118615,True,1925,14,139
phase,8.0,0.08,10.0,200,300.0,1.2,1.2000000000000002,3.8,0.28800000000000003,0.12141068213247064,0.12167635457843162,0.49463034978421,0.5320294131802643,4.879967859825052,0.6421010341875067,0.3566002996510841,0.0,1.0332215029918704e-12,1.020712915865474e-12,1.3794296487794248e-12,1.3794296487794248e-12,5.0847457627118615,True,2305,20,161
phase,8.0,0.08,10.0,200,300.0,1.2,1.4000000000000001,3.8,0.336,0.13337045046220214,0.1478568625823573,0.45321832033728554,0.5806426680655798,4.386666747216247,0.5771929930547693,0.4230316326989485,0.0,4.3885694355138285e-12,2.7539020647701538e-12,6.068539362597392e-12,6.068539362597392e-12,5.0847457627118615,True,2675,19,185
phase,8.0,0.08,10.0,200,300.0,1.2,1.6,3.8,0.38400000000000006,0.1357055114713865,0.17500878426308653,0.4459044552556052,0.5901665516797595,4.095014202354309,0.5388176582045143,0.46623554959428976,0.0,1.9366623388175914e-12,2.112055982256657e-12,3.676601191821263e-12,3.676601191821263e-12,5.0847457627118615,True,2800,21,191
phase,8.0,0.08,10.0,200,300.0,1.2,1.8,3.8,0.43200000000000005,0.1363092249613132,0.20106272425265415,0.4440505828968544,0.5926304454327658,3.8626847213934092,0.5082479896570276,0.5054203344120295,0.0,5.271955549371449e-14,5.977972145788846e-14,2.8369259104847955e-14,5.977972145788846e-14,5.0847457627118615,True,2991,20,198
phase,8.0,0.08,10.0,200,300.0,1.2,2.0,3.8,0.48,0.138173855951369,0.2251155355988521,0.43841793871245704,0.6002443593199733,3.667901994010872,0.4826186834224831,0.5429397094878641,0.0,2.1630841128263623e-14,2.2279755746878142e-14,1.6211898060953193e-14,2.2279755746878142e-14,5.0847457627118615,True,3127,19,207
phase,8.0,0.08,10.0,200,300.0,1.2,2.2,3.8,0.528,0.14117610547291382,0.2502577610961565,0.4296346100182105,0.6125155855709294,3.5014693564032573,0.4607196521583233,0.5793888743900789,0.0,6.735985523491345e-15,6.304723532899542e-15,5.4212937909697604e-15,6.735985523491345e-15,5.0847457627118615,True,3609,37,249
phase,8.0,0.08,10.0,200,300.0,1.2,2.4000000000000004,3.8,0.5760000000000001,0.1442249934001011,0.2728872996655862,0.42105809391196486,0.6249918919546132,3.3571141433874128,0.4417255451825543,0.6150477118902293,0.0,1.859088289033127e-14,1.6694930001979913e-14,1.7916782863703345e-14,1.859088289033127e-14,5.0847457627118615,True,4129,57,323
phase,8.0,0.08,10.0,200,300.0,1.2,2.6,3.8,0.6240000000000001,0.14715627712081125,0.2944074008970621,0.41312075571254964,0.6369999354860495,3.2302719774276896,0.4250357865036434,0.6500757408809225,0.0,5.2188598034816934e-14,2.824065212627723e-14,2.446119315569226e-14,5.2188598034816934e-14,5.0847457627118615,True,4666,69,384
phase,8.0,0.08,10.0,200,300.0,1.2,2.8,3.8,0.6719999999999999,0.14990659765294234,0.31445095024271175,0.40593394345708605,0.6482776298421624,3.117563435025758,0.4102057151349682,0.6845732320289595,0.0,1.93464010102851e-14,1.7627689476550913e-14,6.108770497361988e-14,6.108770497361988e-14,5.0847457627118615,True,5271,89,428
