N,lower,upper,bracket_width,iterations,a_sim,A_sim,lambda_mid
400,1.4630100393295287,1.4630100512504578,1.1920929132713809e-08,22,1.4630100452899932,0.27340892243888404,-5.947554459521877e-09
800,1.4630045318603515,1.4630045437812804,1.1920928910669204e-08,22,1.463004537820816,0.2734099516846411,9.436045433371342e-09
1600,1.4630030059814452,1.463003017902374,1.1920928910669204e-08,22,1.4630030119419097,0.27341023684500965,1.0349176735764964e-08
3200,1.4630026721954346,1.4630026841163635,1.1920928910669204e-08,22,1.463002678155899,0.2734102992239196,-5.286007932020141e-09
