rm,N,dx,sigma0_hi,max_v,wall_value,gap,gap_over_rm,stationarity,successive_gap_ratio
1.0,3200,0.0025,3.2,5.856820462485396,16.000000065956918,10.143179603471523,10.143179603471523,8.841852581535364e-15,1.4698223749950126
0.5,3200,0.0025,6.4,9.099044021179099,16.000000065956918,6.9009560447778195,13.801912089555639,3.0425173783525844e-12,1.6656081933069056
0.25,3200,0.0025,12.8,11.856795155877416,16.000000065956918,4.143204910079502,16.57281964031801,1.6725840233831824e-12,1.8004369631592982
0.125,6400,0.00125,25.6,13.698778198789041,16.000000065956918,2.301221867167877,18.409774937343016,1.5044632454496189e-13,1.87032637066914
0.0625,6400,0.00125,51.2,14.769614875833883,16.000000065956918,1.2303851901230356,19.68616304196857,3.957819498805714e-13,
