sweep,xi,d2,L,N,T,rm,sigma0_hi,a,s0bar,K1,K2,kappa,A,mass_int,mean_int,vmean_int,mmin,stationarity_u,stationarity_v,stationarity_w,stationarity_max,comparison_interval,solver_success,nfev,njev,nlu,sup_v_b,weighted_l1_lhs,weighted_l1_rhs,weighted_l1_ratio
a,8.0,0.08,14.0,200,400.0,2.0,2.24,5.0,0.6496000000000001,0.14195357455164953,0.1380541894291715,0.4274155123574333,0.46792873496071585,5.201804010902723,0.5233203230284429,0.5339936042883116,0.0,1.6305720820352816e-14,5.12482022201385e-15,9.861688178011737e-15,1.6305720820352816e-14,6.779661016949149,True,4120,44,300,0.21748202412977458,5.885418311048595,30.852042157033463,5.242115432834307
a,8.0,0.08,16.0,200,400.0,2.0,2.56,6.0,0.64,0.1429128921387617,0.1444722443668181,0.4247078847668645,0.3924265892971477,6.823580523007715,0.568631710250643,0.5000033967446678,0.0,1.1758691112339131e-14,9.993956800000891e-15,9.442810505208783e-15,1.1758691112339131e-14,6.779661016949149,True,4792,50,337,0.14517436603622896,5.538150181701745,29.911262849572076,5.40094830732471
a,8.0,0.08,20.0,200,400.0,2.0,3.2,8.0,0.64,0.14384795416100826,0.1514531349966347,0.4221006201895264,0.29613792072580714,10.033380270866807,0.6270862669291754,0.4598862659613189,0.0,9.181712236174914e-15,9.571597978244054e-15,1.715082907940937e-14,1.715082907940937e-14,6.779661016949149,True,5103,53,365,0.12213752709580411,4.839099019773194,28.005331657869224,5.787302872587596
d2,8.0,0.01,10.0,200,400.0,2.0,1.6,3.0,0.64,0.13311737142236102,0.3067242875387677,0.46745854780417817,0.7130757045712834,2.366704490555678,0.39445074842594635,0.6358427952539896,0.0,4.855562000870914e-14,2.716529466644395e-14,2.975254807423662e-14,4.855562000870914e-14,6.779661016949149,True,4934,8,296,0.5696076746733373,5.661627056753954,29.76767696929831,5.257795448357448
d2,8.0,0.02,10.0,200,400.0,2.0,1.6,3.0,0.64,0.13268244814446217,0.2393423079493473,0.4669412980160159,0.7138656074106774,2.355825109463282,0.39263751824388027,0.6368829780960101,0.0,2.723076187923028e-14,1.8063251848081e-14,3.848203220609429e-14,3.848203220609429e-14,6.779661016949149,True,4020,5,242,0.5711455387490298,5.659839914205325,29.753174684420635,5.256893328333326
d2,8.0,0.04,10.0,200,400.0,2.0,1.6,3.0,0.64,0.13186100577869037,0.1880586376347193,0.4657582131410043,0.7156789165034424,2.334066132312729,0.38901102205212157,0.6392154589315129,0.0,7.074540494702865e-14,1.952596256412901e-14,5.771105427344513e-14,7.074540494702865e-14,6.779661016949149,True,3240,11,205,0.5742179641560564,5.657855342157406,29.733731989077132,5.255300850046003
d2,8.0,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.13097718997297614,0.15389516447594787,0.46095938153937477,0.7231295135379737,2.2905564304396173,0.38175940507326955,0.6446111816006155,0.0,1.207136176461438e-13,6.852112194175313e-14,1.6987185458394725e-13,1.6987185458394725e-13,6.779661016949149,True,2916,19,192,0.5803656894774712,5.676526215677365,29.841086158907782,5.256927392758799
d2,8.0,0.16,10.0,200,400.0,2.0,1.6,3.0,0.64,0.13082780862747917,0.13608374590740602,0.4471599716377901,0.7454453763212532,2.203988054099272,0.36733134234987863,0.657043805980093,0.0,7.985983548538734e-15,2.805245272753987e-15,4.185219881716103e-15,7.985983548538734e-15,6.779661016949149,True,2563,34,202,0.5927039024644333,5.760623139218871,30.355397399295928,5.269464199564365
d2,8.0,0.32,10.0,200,400.0,2.0,1.6,3.0,0.64,0.1304375740018615,0.11033157360154089,0.4240208606498659,0.786124844948566,2.036690229747745,0.33944837162462416,0.6838381983334348,0.0,4.760087467851138e-14,2.729348644619273e-14,3.8995463211828257e-14,4.760087467851138e-14,6.779661016949149,True,2286,45,227,0.6176384688107739,5.923811025390025,31.31762715468647,5.286736362867773
d2,8.0,0.64,10.0,200,400.0,2.0,1.6,3.0,0.64,0.12617701407895976,0.08672476115025307,0.3959399702289855,0.8418784623854857,1.7364253829948393,0.2894042304991399,0.7349852399798391,0.0,5.609323503371354e-14,3.6350319322638895e-14,6.103943140912814e-14,6.103943140912814e-14,6.779661016949149,True,1757,24,163,0.6668931287964502,6.152692041366205,32.4905243702628,5.280700570062707
