N,dx,max_u,max_v,E_u,E_v,E_w,stationarity,s0bar,K1,K2
40,0.25,0.36687969701206524,3.038366250738905,0.02995492713102231,0.006661572090739169,0.025812018886076055,1.4129192808795158e-12,1.024,0.20572454817432076,1.3900357128709686
80,0.125,0.3770845205825775,3.033917389353548,0.016614948187684532,0.003278457491905646,0.014321357740220824,2.1873504857801047e-12,1.024,0.2534911886370447,2.7758156627756705
160,0.0625,0.3822671025280398,3.0311321903436323,0.008757293174671025,0.0017405025411707379,0.007544590838520279,2.5044644287582064e-12,1.024,0.30078594434744416,4.706461530942306
320,0.03125,0.3848871204939999,3.0295829090635937,,,,2.7830478585982483e-12,1.024,0.32832482501913207,6.408089745893449
