N,dx,mean_u_int,mean_v_int,access_number,E_u,E_v,E_w,stationarity,s0bar
100,0.1,0.37880994877939983,0.6457714243466497,0.7193736679729722,0.008161462028060949,0.004443161758537313,0.0049491066032434534,6.09092950647997e-14,0.64
200,0.05,0.38175940507326955,0.6446111816006155,0.7231295135379737,0.004207956349402514,0.002361830952171615,0.002563684552495672,1.6987185458394725e-13,0.64
400,0.025,0.3832895005562019,0.6439407313804923,0.7250209160350568,0.002136496761798089,0.0012270678536202447,0.0013045653539850214,1.1216938327489744e-14,0.6399999999999999
800,0.0125,0.3840687718488938,0.6435808345200807,0.7259608985028296,,,,7.913034003337331e-14,0.64
